"","LoC_classifications","title","downloads","author_birthdate","author_deathdate","author_name","pub_day","pub_date_full","pub_month","pub_month_name","pub_year","difficulty.ari","difficulty.coleman","difficulty.dale","difficulty.vocabulary","difficulty.flesch.grade","difficulty.flesch.ease","difficulty.gunning","difficulty.linsear","difficulty.smog","polarity","subjectivity","avg_letter_per_word","avg_sentence_length","sentences_over_words","characters","polysyllables","sentences","syllables","words"
"571","HC","The Economic Consequences of the Peace",679,1883,1946,"Keynes, John Maynard",6,"May 6, 2005",5,"May",2005,16.9,13.23,6.66,7434,12.6,52.53,12.8,14.5,8.8,0.0835230092715872,0.423409854633351,5.21,27,0.04,362587,4237,2520,106057.8,69597
"572","F2155,G","A General History of the Pyrates:: from their first rise and settlement in the island of Providence, to the present time",677,0,1731,"Defoe, Daniel",25,"August 25, 2012",8,"August",2012,21.9,12.03,7.05,11651,16.5,47.8,18,27,3.1,0.091630850638906,0.450490591553133,4.9,40,0.02,633069,3051,3189,175989.6,129089
"573","","Stories from The Arabian Nights",676,1865,1959,"Housman, Laurence",13,"March 13, 2016",3,"March",2016,15.3,10.4,6.89,3297,12.2,58.96,13.6,15,3.1,0.121048356493672,0.520733926724013,4.67,29,0.03,134089,655,973,38831.4,28729
"574","PZ","The Story of Doctor Dolittle",675,1886,1947,"Lofting, Hugh",1,"April, 1996",4,"April",1996,7.7,8.75,5.8,2330,5.6,81.63,8,18.5,3.1,0.0723442489813421,0.481118216257902,4.59,15,0.07,119068,364,1718,32674.5,25955
"575","GT,D","Manners, Customs, and Dress During the Middle Ages and During the Renaissance Period",674,1806,1884,"Jacob, P. L.",4,"February 4, 2004",2,"February",2004,16.3,13.23,6.6,16719,12.3,53.55,12.4,9,8.8,0.105769174182277,0.464648480856635,5.21,26,0.04,820838,7707,5989,236169.9,157577
"576","PA","Cicero's Tusculan Disputations: Also, Treatises On The Nature Of The Gods, And On The Commonwealth",674,-106,-43,"Cicero, Marcus Tullius",9,"February 9, 2005",2,"February",2005,16.7,11.33,6.45,15201,12.6,57.95,14,4,8.8,0.151124110872655,0.526705172393885,4.83,30,0.03,876187,7118,5909,259235.1,181274
"577","ML","The Complete Plays of Gilbert and Sullivan",671,1836,1911,"Gilbert, W. S. (William Schwenck)",1,"February, 1997",2,"February",1997,8.6,11.12,5.98,17882,5.6,76.22,6.8,6.5,3.1,0.141686403703592,0.561064814168372,5.05,12,0.08,814526,4355,12962,219984.3,161243
"578","PR","Sir Gawayne and the Green Knight: An Alliterative Romance-Poem (c. 1360 A.D.)",669,0,0,"Unknown",3,"January 3, 2005",1,"January",2005,12.3,9.81,6.85,5026,9.1,72.5,11.6,5,3.1,0.187958190381227,0.500316923434248,4.62,24,0.04,181520,150,1635,49804.2,39281
"579","PJ","The Book of the Thousand Nights and a Night — Volume 01",667,0,0,"Unknown",1,"September, 2003",9,"September",2003,13.5,9.81,6.37,15885,9.9,70.47,12.4,6.5,3.1,0.112742145599392,0.467225440237003,4.62,26,0.04,802408,2464,6625,224472.6,173812
"580","","Composition",667,1857,1922,"Dow, Arthur Wesley",15,"April 15, 2014",4,"April",2014,12.5,13.17,6.97,3662,9.1,61.67,9.2,12,3.1,0.127758098392985,0.428712862063118,5.25,18,0.05,124599,1192,1287,36196.2,23734
"581","PR","The Ballad of the White Horse",666,1874,1936,"Chesterton, G. K. (Gilbert Keith)",1,"April, 1999",4,"April",1999,15.8,9.99,6.81,1805,10.7,73.85,14.4,10.5,3.1,0.0491628441445319,0.463465889029582,4.6,31,0.03,80392,58,562,20994.3,17475
"582","PQ","Phaedra",665,1639,1699,"Racine, Jean",1,"November, 1999",11,"November",1999,9,10.32,6.63,2035,5.2,82.65,7.6,14.5,3.1,0.0494138222176964,0.54535395174985,4.86,14,0.07,67979,239,934,18495.9,14001
"583","","Man of Distinction",665,1928,1988,"Shaara, Michael",23,"February 23, 2016",2,"February",2016,9.9,11.36,7.61,437,8,64.71,8,7.5,3.1,0.125595372955186,0.541908116545967,5.04,15,0.07,10770,113,141,3135.6,2139
"584","PR","The Mill on the Floss",663,1819,1880,"Eliot, George",1,"October, 2004",10,"October",2004,11.5,10.15,5.91,16055,7.9,75.54,10.4,3,3.1,0.0880353347139673,0.512724349603516,4.73,21,0.05,977083,5313,9664,275125.5,206412
"585","PR","Lord Jim",662,1857,1924,"Conrad, Joseph",9,"January 9, 2006",1,"January",2006,9.5,9.51,6.08,13071,6.4,79.6,8.8,6.5,3.1,0.0501581980535227,0.499296006979647,4.67,17,0.06,601440,3357,7197,173457,128708
"586","PS","The Piazza Tales",659,1819,1891,"Melville, Herman",18,"May 18, 2005",5,"May",2005,14.3,12.42,7.1,11661,11.1,56.59,11.2,8,3.1,0.0601522985969127,0.46058494879198,5.07,23,0.04,401166,2848,3345,114809.4,79165
"587","ND","A Treatise on Painting",659,1452,1519,"Leonardo, da Vinci",20,"September 20, 2014",9,"September",2014,13.8,11.84,6.22,6606,9.9,65.05,11.2,8.5,3.1,0.109594269907965,0.4362836891002,4.97,23,0.04,359364,2048,3061,100051.2,72270
"588","PR","A Christmas Carol",658,1812,1870,"Dickens, Charles",20,"September 20, 2006",9,"September",2006,9.3,10.09,6.47,3783,6,80.62,8.4,14,3.1,0.106503487210936,0.500442453622125,4.77,16,0.06,139805,480,1763,38523.6,29282
"589","PR","A Shropshire Lad",658,1859,1936,"Housman, A. E. (Alfred Edward)",1,"May, 2004",5,"May",2004,13.3,10.33,6.78,1091,8.3,79.94,12,14,3.1,0.0902345119459213,0.53565732589558,4.71,25,0.04,42616,66,360,10955.7,9046
"590","B","The Will to Believe, and Other Essays in Popular Philosophy",655,1842,1910,"James, William",8,"May 8, 2009",5,"May",2009,14.6,12.07,6.67,11823,11.5,55.58,11.6,14,8.8,0.0967042198620292,0.494847314764202,5.01,24,0.04,507099,5910,4068,150146.1,101183
"591","PR","Love and Freindship [sic]",654,1775,1817,"Austen, Jane",1,"February, 1998",2,"February",1998,14.1,10.57,7,4366,11.1,62.01,12.4,13,3.1,0.142070003374547,0.547007115782947,4.75,26,0.04,157906,1091,1263,47058.3,33252
"592","","Slaveholding: Weighed in the Balance of Truth",654,0,0,"Fitch, Charles",5,"March 5, 2016",3,"March",2016,14,9.75,7.16,1455,10.3,69.45,12.8,8.5,3.1,0.0750872509680585,0.494357070330522,4.61,27,0.04,48382,276,382,14118.3,10497
"593","PA","Oedipus King of Thebes: Translated into English Rhyming Verse with Explanatory Notes",652,-496,-406,"Sophocles",31,"December 31, 2008",12,"December",2008,8.5,10.49,6.1,2105,4.8,83.66,7.2,11,3.1,0.0935834224126273,0.526004357265877,4.89,13,0.07,89076,193,1317,22861.8,18226
"594","","Bullet With His Name",652,1910,1992,"Leiber, Fritz",13,"March 13, 2016",3,"March",2016,10.7,11.42,7.26,2084,7.6,71.14,8.8,8.5,3.1,0.0476527090125992,0.451658601331044,5,17,0.06,59235,402,692,16668,11842
"595","LB","Emile",652,1712,1778,"Rousseau, Jean-Jacques",1,"April, 2004",4,"April",2004,13.1,9.75,5.82,15129,10.7,63.02,12,18,3.1,0.122161121995223,0.530988770545319,4.61,25,0.04,1160348,6504,9816,344070.9,251964
